col,oRG,EN,IPC-EN,IN,RG,Microglia,Vascular,OPC
ANP32B,0.43739953575839186,0.1967613727333563,0.5893489113979262,0.0856665923245757,0.43222286067463883,0.12885426470246206,0.1296285448234091,0.30454149412307124
ANP32E,0.4232927622495598,0.07492832778264824,0.6374857971254265,0.06425874857353818,0.6598557433763029,0.09043733523995848,0.06798121857135643,0.08799721500857845
ANTXR1,0.48170166038663026,0.5226329788630634,0.6636636596880948,0.1310016603153618,0.35214795325779524,0.11709503267731868,0.27004767671520347,0.1835403524223778
ANXA1,0.05017351495630681,0.002226094197491124,0.006942984470112609,0.0014410544294385557,0.036231431931271756,0.011024396623705435,0.21789691759117774,0.0
ANXA11,0.21247426293373142,0.0057430224200607,0.021009194316531955,0.00048035147647951856,0.1027155680904284,0.1197328477396134,0.1332647207662986,0.016456335429059606
ANXA2,0.6743740968035387,0.003144351883352269,0.08151741576360765,0.01593322244915771,0.4115551114573831,0.03706755499218488,0.338569175467312,0.03672302943363948
ANXA3,0.020718045424339096,0.0004745912585264517,0.0003292860715249146,0.0,0.015863461268801983,0.00294538461994311,0.003921624783931798,0.0
ANXA4,0.05328471638806925,0.01833823332851885,0.018098354836212575,0.008528586426391973,0.026864516289763735,0.11345032772329199,0.0828730739849829,0.013771136037614807
ANXA5,0.9508937453746464,0.054336412373453144,0.4293903800644452,0.0561296719588464,0.7429592100631083,0.32586835391424357,0.3442877684506649,0.15382255672481687
ANXA6,1.0612588822358606,0.3397033309481295,0.49587635648014383,0.15361507819535924,0.6883687766103889,0.14800726332034916,0.49477779364320335,0.26189990363885796
ANXA7,0.32550444977244297,0.16224927454790347,0.22892873588478307,0.05732585521228415,0.2519179685834292,0.12382659246421104,0.11039816175983079,0.10635872972539819
ANXA9,0.00023608555196183423,0.00016386458169265845,0.0,0.0,0.0,0.0,0.0,0.0
AP1B1,0.37115196343409,0.4747990343623184,0.383572989735421,0.13559798445017052,0.28319568185241445,0.4366272959967566,0.12443946880248064,0.13468102190431241
AP1G1,0.5746038603573559,0.6733017616418931,0.6132014941323042,0.48440940427306817,0.43373102755939963,0.16032481135326784,0.21023619062576798,0.24555533556309603
AP1M1,0.6235375513297117,0.7465217524540411,0.6749653700595638,0.3866304631715307,0.5266922887345241,0.16900011920337765,0.26932163534592396,0.252050893530061
AP2A1,0.6127859943429872,0.7188913762486591,0.6127672406036049,0.3090019328607909,0.4981197560946142,0.1746150469747192,0.3120119493421672,0.255247282581712
AP2A2,0.7231158318194898,0.7593239468738595,0.6734822359056187,0.3996594608270771,0.5205250721138776,0.19940376592309547,0.26443119809614235,0.3074057820150915
AP2B1,0.351999532622433,0.4101391223297283,0.33585223539906583,0.196819203468578,0.2687774968994078,0.07356079680008057,0.0971530946392531,0.17478700248872006
AP2M1,0.53588359003825,0.6291194300000941,0.6376768848938444,0.3552795456957822,0.4173266494142419,0.15710957075032458,0.26742518638030127,0.26850722895912066
AP2S1,0.2625397090194361,0.2760548370711932,0.3090541824842,0.08807695852194111,0.21087256748954875,0.0973501252377507,0.22590585012681522,0.12472024444221788
APBB1IP,0.0,0.00026976053141062863,0.0010841682165006737,0.00048035147647951856,0.0027386297137888,0.35204510422394275,0.001960812391965899,0.0
APEH,0.5359278626471091,0.44997443591506586,0.4822133464948928,0.16152052861068317,0.39050146503059174,0.14621681434709966,0.2191702983762,0.18595520747925143
APEX1,0.9046195865360006,1.0642631590499554,1.31128973329592,0.6804955854753721,0.6132557310852812,0.351393241694897,0.3185618995874507,0.4391930170184473
API5,0.7135775292240505,0.6629948830554908,0.8026556383605038,0.45103057119998285,0.5482656609523248,0.1765387346293271,0.23840378939393642,0.27255843286027587
APIP,0.2481362386267688,0.30294331450566564,0.33776614864850596,0.15389528373571154,0.22471788283906577,0.0820648861302598,0.061284970723742234,0.0971779723669883
APMAP,0.4355932588810051,0.5167073205634225,0.5043253803943853,0.24893655353161614,0.3756111093531174,0.13670862368897702,0.1845053197186195,0.23073383508722525
APOA1,0.0038174856691469716,0.0025198183877733937,0.002305002500674402,0.00048035147647951856,0.00109545188551552,0.0,0.001960812391965899,0.004590378679204935
APOB,0.0,0.0002048307271158231,0.0,0.0,0.0,0.0,0.0,0.0
APOD,0.003305197727465679,0.004575086831251739,0.003112887864489641,0.0014410544294385557,0.020881158938258017,0.01391195972166518,0.00997065748409595,0.7184929529536941
APOO,0.2808815323290256,0.2947129274866908,0.2217434012634597,0.05833128340511677,0.24959466057467136,0.054091730829057175,0.06912822029160583,0.05317936486269909
APP,1.4382611024064778,2.1064279830350716,1.472906184652806,0.7612760745665165,1.132872259654156,0.6703085043294872,1.0704250276237937,0.6966472428800409
APPL1,0.39985418502820347,0.4293452887654571,0.39610578943574304,0.2905325775170129,0.3181694710910874,0.13002519752566952,0.16759650837534612,0.2627094227514789
APPL2,0.6405397751483394,0.4445345715251635,0.6656607315627513,0.2608205555995054,0.469947044737072,0.25212665192971906,0.09887359721962721,0.43371832448080183
APRT,0.2730826312782438,0.26059466463957237,0.1695166484196853,0.08047295862360243,0.13348620136345302,0.08828931836067402,0.1290676446714863,0.09258759368778338
AQR,0.4162694043040785,0.38515855681914923,0.4749214613529689,0.23354035079746938,0.33192626669855024,0.11088819608429623,0.12680718653030476,0.18966127230001578
ARCN1,0.6310704629277671,0.5403319359736115,0.6193485461533434,0.2420852838956957,0.45804308810621225,0.1783434006196851,0.28357381185728375,0.28415404527555926
ARF4,0.6139921861330435,0.6604969692834988,0.6478099950377384,0.3570259195706392,0.4415430866066346,0.2744143176438029,0.3989277296709927,0.31483842317592214
ARF6,0.5710131811299215,0.5454999326281587,0.7015891969555685,0.28866126037979317,0.5376662409504748,0.1956274207485882,0.2549801408036413,0.22450862145483141
ARG1,0.00023608555196183423,0.0005155574039496163,0.0003292860715249146,0.0,0.0,0.0,0.0,0.0
ARGLU1,1.4249166092756262,1.4512399045674829,1.4758447275766238,1.129279273577879,1.101715295916289,0.45520877314939406,0.5433951359490296,0.6509808668739198
ARHGAP1,0.46011271216261135,0.48405977779336984,0.4061445382285634,0.3114113585793381,0.29901525862554384,0.18211503497695503,0.30157129596125143,0.17218407144163658
ARHGAP17,0.3258122289326339,0.28685518568731017,0.3593679565632901,0.12759369267957738,0.24852827842483222,0.15531944556964594,0.1648796250493162,0.14195659997496216
ARHGDIA,0.599540784505474,0.6114482942791214,0.6048630678510677,0.19611198050658757,0.414404768356946,0.23035622245071763,0.31514695095232187,0.192803378125149
ARHGDIB,0.005331983338020083,0.009110008405577855,0.006517388396661764,0.0009607029529590371,0.022322509179108937,0.3920004648748772,0.43236154519182696,0.0
ARHGEF1,0.3569836199625046,0.33662209514308594,0.3657183416164261,0.28111383982243887,0.24375673871495468,0.1803186005181611,0.25674519319156314,0.22778727885084368
ARHGEF12,0.41165030693005117,0.6541445757651938,0.5062476484718652,0.4532781089087153,0.34593535213418625,0.13139687845061734,0.4793229861219358,0.12012986576301293
ARHGEF17,0.3062557278082577,0.16482441102920445,0.197972130395229,0.05344614491498799,0.22773483779472686,0.049830888345271704,0.5267103638385602,0.10974168087616633
ARHGEF2,0.38171258187122703,1.152850292097023,1.4943183358435708,1.0006515197951578,0.5123250110743713,0.3857642937924639,0.2803420324937886,0.5996815615372699
ARHGEF6,0.3936917386003866,0.0177995798512034,0.07094685070292944,0.004123799412742707,0.20358502095137626,0.16378523126868227,0.17244271915216974,0.01836151471681974
ARID1A,0.5739284551370833,0.7101226020976891,0.8177865857523311,0.4396868473612066,0.5135777119523389,0.19838837823587555,0.21390153104843507,0.3162119012841743
ARL1,0.36130487384091364,0.17471014401989043,0.249716220890204,0.09504675036865518,0.272642522059388,0.06980044880208709,0.1561074086690211,0.12740544383366273
ARL3,0.7146636978072425,0.6631361529656697,0.6137368407839002,0.3629043253467277,0.5303198286421181,0.15099414849319098,0.1955991078192195,0.25929697259177453
ARL6IP5,0.38366451802293433,0.31970251078078316,0.17419819104636913,0.15035944438794946,0.2277558747423834,0.1688505039401803,0.10458943887125845,0.08990239429633858
ARL8A,0.7803634005992642,1.1408153862341042,0.8639363223342063,0.5384094040576527,0.6031670515256143,0.27180524005181594,0.3074392128943859,0.496348791036482
ARL8B,0.43953653680542876,0.4559132601960434,0.4360484652340704,0.23049087824368072,0.321504213149673,0.15938955164266042,0.1493740997875569,0.21529836508748526
ARPC1A,0.3831698250424345,0.46228206337002625,0.48771825411108843,0.2379599203618445,0.3025455157648259,0.09705005506112828,0.1654452293553684,0.12550026454590257
ARPC1B,0.018535023566295942,0.011765045797265903,0.00875405786349964,0.0019214059059180742,0.011936307337884556,0.18200986951057183,0.039382843363584434,0.0
ARPC2,0.28204720953746054,0.40345929632785793,0.3380456122640926,0.15921526640189204,0.22023499727179624,0.1672615062665671,0.20865033447031447,0.12472024444221788
ARPC3,0.19470221071412555,0.22259933745833377,0.22704477040761242,0.07534294895747284,0.15290988126018049,0.15419033709190802,0.1025549121919672,0.08955725521594775
ARPC4,0.4014478798815091,0.5099076230373449,0.47835138217342793,0.22607748241506365,0.2892446717620853,0.21620393632786206,0.24041618306251544,0.18214484890373112
ARPC5,0.21114752377956103,0.5366151572800386,0.4185125862957098,0.1014459581985883,0.2064334490044609,0.16325419879669717,0.14602597586374985,0.09639795226330365
ARPC5L,0.360664983817338,0.4079891947233896,0.460586363614514,0.17128297883652716,0.2924615591045881,0.10384880047583164,0.14928281475058724,0.11553948708380804
ARPIN,0.6200651065278279,0.29094683084107736,0.3826481168502474,0.14106951888417135,0.3410608627872879,0.12589128444512723,0.1672313682274674,0.1637010658425501
ARRB2,0.3503835931649715,0.4741063987533366,0.5016209522108293,0.17935625817078882,0.25476274151876627,0.3660277796970147,0.06602040617939053,0.19583371659698462
ARSA,0.21854838894643955,0.25874611597651165,0.15929343620614042,0.037032570989350776,0.1425192171484627,0.11392691729357698,0.11463070268852162,0.07881645765016856
ARSB,0.20462703484569042,0.13792939317206748,0.21196519217614718,0.07009598120165818,0.19497825297913637,0.06324395204202277,0.042083752139941484,0.15728777621994627
ARVCF,0.659775705112514,0.5615571804300725,0.47257548987891435,0.25195299652837794,0.3497697046906874,0.09295604407260678,0.08031959378327652,0.2065745141627638
ASAH1,0.1576576077281197,0.183461431733883,0.08150474024796436,0.03206580877388838,0.1012316980777808,0.22792188613689765,0.12027753420695704,0.07881645765016856
ASPRV1,0.07349470497426883,0.10843051818026583,0.06813151705823213,0.036950947264017174,0.057677223458101445,0.009410467044118517,0.013725686743761293,0.03481785014587935
ASS1,0.004859812234096414,0.008682543576297143,0.09851169722954156,0.007486259748099338,0.002511302908216472,0.0,0.003921624783931798,0.0
ATAD3A,0.15239739585853135,0.131845407226736,0.17142965101296687,0.04836164254928626,0.1358113596084433,0.021192005523890958,0.05188781409977099,0.02563709278746948
ATAT1,0.5895414615784154,1.5769997115309997,1.0142435132758292,1.0254307396365612,0.465305729846638,0.31158662731208664,0.2702427056042831,0.5720011174511226
ATG2A,0.1558414635229411,0.1378927954243847,0.1467453066908213,0.07166338459630389,0.12899028454212125,0.03706755499218488,0.0708311521223356,0.0723208996832035
ATIC,0.5088291439782175,0.5062399008975434,0.4278692370724996,0.13760962289638998,0.3250249089050922,0.12602260087303696,0.12551116003543325,0.21487095766273312
ATL1,0.3257050339612311,0.7078276679400781,0.634785052307106,0.41596834972617425,0.3236845227816159,0.11553892461971516,0.07639796899934473,0.2626799237425427
ATOX1,0.2717694320369855,0.4159833149166831,0.2748789745765093,0.1499708481985418,0.19668768988018942,0.14338203816131515,0.12551275623540467,0.10176835104619325
ATP1A1,0.33271190445895216,0.3594815338590247,0.1311561492904888,0.029745675116824393,0.18057584126939136,0.11935869260056994,0.097486285687786,0.06236012222110897
